City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dalvik,32,IS,1594101555,100,65.97,-18.53,33.8,1.79
Namatanai,43,PG,1594101551,78,-3.67,152.43,82.65,9.69
Praia,20,CV,1594101732,83,14.92,-23.51,75.2,5.82
Julfa,20,AZ,1594101915,20,38.96,45.63,84.2,4.7
Lodwar,95,KE,1594101915,52,3.12,35.6,78.75,9.55
Naze,75,JP,1594101916,89,28.37,129.48,86.0,14.99
Maturin,71,VE,1594101916,97,9.75,-63.18,73.83,2.86
Aktas,75,KZ,1594101916,41,49.78,72.96,75.2,6.71
Bezhanitsy,100,RU,1594101916,89,56.98,29.89,57.52,4.97
Gizo Government Station,84,SB,1594101559,75,-8.1,156.84,83.16,8.01
Yala,20,TH,1594101916,62,6.33,101.25,89.6,8.05
Nanortalik,94,GL,1594101530,83,60.14,-45.24,40.39,1.88
Moengo,47,SR,1594101917,98,5.62,-54.4,72.57,2.1
Mattawa,1,US,1594101917,40,46.74,-119.9,69.8,6.93
San Jerónimo,99,PE,1594101560,75,-11.95,-75.28,46.44,0.34
Phan Thiet,15,VN,1594101917,66,10.93,108.1,86.47,6.06
Rantauprapat,100,ID,1594101917,86,2.1,99.83,83.03,1.95
Pueblo Nuevo,97,MX,1594101917,100,23.38,-105.38,62.62,1.86
Fray Bentos,68,UY,1594101917,88,-33.13,-58.3,38.91,8.28
Tromsø,75,NO,1594101539,87,69.65,18.96,48.2,20.8
Nantucket,90,US,1594101897,87,41.28,-70.1,60.8,8.05
Shingū,75,JP,1594101918,100,33.73,135.98,77.0,9.17
Umeå,75,SE,1594101918,87,63.83,20.26,54.0,8.05
Talnakh,40,RU,1594101537,52,69.49,88.4,69.8,6.71
Plettenberg Bay,50,ZA,1594101918,73,-34.05,23.37,57.52,16.84
Severodvinsk,20,RU,1594101918,59,64.56,39.83,66.2,8.95
Marzuq,87,YE,1594101525,42,14.4,46.47,83.93,6.35
Rawson,0,AR,1594101918,78,-43.3,-65.1,38.55,13.2
Geraldton,17,AU,1594101534,59,-28.77,114.6,66.2,5.82
Chingirlau,13,KZ,1594101919,41,51.09,54.08,86.63,5.28
Susuman,54,RU,1594101919,35,62.78,148.17,67.41,10.96
Haines Junction,86,CA,1594101919,55,60.75,-137.51,55.65,5.14
Hasaki,75,JP,1594101529,83,35.73,140.83,82.4,18.34
Dwārka,100,IN,1594101919,82,22.24,68.97,83.14,21.52
Saint-Augustin,58,CA,1594101919,78,51.23,-58.65,55.29,6.58
Padang,67,ID,1594101919,68,-0.95,100.35,84.61,5.17
Khatanga,91,RU,1594101512,60,71.97,102.5,52.84,15.55
Kabinda,29,CD,1594101920,42,-6.13,24.48,68.77,3.74
Santa Maria,100,BR,1594101449,82,-29.68,-53.81,48.29,9.93
Hobyo,100,SO,1594101920,62,5.35,48.53,83.1,20.83
Yumen,69,CN,1594101536,13,40.28,97.2,91.02,12.35
Dingle,33,PH,1594101546,64,11.0,122.67,89.17,10.6
College,75,US,1594101920,60,64.86,-147.8,70.0,3.36
Sitka,90,US,1594101518,82,57.05,-135.33,55.4,6.93
Bojnourd,0,IR,1594101881,17,37.47,57.33,78.8,4.7
Itarema,38,BR,1594101920,92,-2.92,-39.92,74.37,8.14
Cape Town,40,ZA,1594101212,66,-33.93,18.42,55.4,3.36
Vardø,75,NO,1594101921,87,70.37,31.11,48.2,17.22
Córdoba,96,AR,1594101921,70,-31.41,-64.18,45.0,3.36
Hong Kong,100,HK,1594101524,69,22.29,114.16,91.99,15.01
Beyneu,0,KZ,1594101921,15,45.32,55.2,99.3,7.85
Atambua,38,ID,1594101921,65,-9.11,124.89,79.84,3.38
Camacha,40,PT,1594101550,82,33.08,-16.33,68.0,17.22
Yining,99,CN,1594101921,88,29.04,114.56,82.45,1.52
San Patricio,98,MX,1594101531,87,19.22,-104.7,79.83,2.53
Maués,20,BR,1594101922,87,-3.38,-57.72,73.4,0.38
Robertson,89,US,1594101922,38,36.52,-86.87,77.0,2.39
Santa Rita do Sapucaí,4,BR,1594101678,84,-22.25,-45.7,57.99,1.63
Narni,0,IT,1594101922,56,42.52,12.52,73.99,4.21
Swellendam,89,ZA,1594101922,71,-34.02,20.44,55.4,8.05
La Sarre,79,CA,1594101922,89,48.8,-79.2,65.14,8.34
Souillac,75,MU,1594101533,88,-20.52,57.52,75.2,6.93
Kahului,40,US,1594101293,54,20.89,-156.47,82.4,13.87
Sobolevo,7,RU,1594101923,87,54.43,31.9,70.9,6.69
Lüderitz,96,NA,1594101524,76,-26.65,15.16,53.6,13.87
Escalerillas,20,MX,1594101763,68,22.13,-101.07,66.2,11.41
Anloga,40,GH,1594101923,88,5.79,0.9,77.0,10.29
Lethem,76,GY,1594101923,90,3.38,-59.8,73.76,4.79
Lompoc,0,US,1594101517,87,34.64,-120.46,55.4,10.29
Ponta do Sol,20,PT,1594101511,82,32.67,-17.1,69.01,3.36
Richmond,75,US,1594101675,78,37.55,-77.46,81.0,5.82
Palafrugell,40,ES,1594101924,72,41.92,3.16,70.0,3.36
Tonantins,100,BR,1594101924,98,-2.87,-67.8,71.51,2.77
Port-Cartier,20,CA,1594101924,93,50.03,-66.87,46.4,2.24
Point Fortin,71,TT,1594101924,87,10.18,-61.68,79.0,10.38
San Cristobal,85,VE,1594101506,74,7.77,-72.22,66.33,1.21
Linköping,4,SE,1594101924,82,58.41,15.62,55.99,10.29
Paita,96,PE,1594101924,84,-5.09,-81.11,63.97,12.5
Walla Walla,90,US,1594101925,55,46.06,-118.34,69.01,13.87
Pemangkat,100,ID,1594101925,89,1.17,108.97,77.92,13.24
Kristinestad,74,FI,1594101925,88,62.27,21.38,56.32,13.6
San Miguel,99,SV,1594101925,92,13.48,-88.18,73.29,2.53
Katsuura,90,JP,1594101513,87,35.13,140.3,82.0,8.99
Santa Cruz de Tenerife,57,ES,1594101925,31,28.47,-16.25,78.8,12.75
Gladstone,1,AU,1594101925,53,-23.85,151.25,73.4,14.99
Takoradze,99,GH,1594101511,88,4.88,-1.76,76.21,10.0
Aden,36,YE,1594101369,63,12.78,45.04,88.7,1.79
Fort Nelson,75,CA,1594101926,68,58.81,-122.7,64.4,3.36
Solone,6,UA,1594101926,69,48.21,34.87,82.0,2.24
Ribeira Grande,7,PT,1594101498,88,38.52,-28.7,68.02,10.36
Kichera,100,RU,1594101926,35,55.94,110.1,74.7,9.1
Eureka,90,US,1594101926,67,40.8,-124.16,60.8,4.7
Ormara,62,PK,1594101926,77,25.21,64.64,86.68,8.99
Tignère,99,CM,1594101926,100,7.37,12.65,64.27,3.51
Hithadhoo,100,MV,1594101523,75,-0.6,73.08,84.33,16.28
Puerto Padre,40,CU,1594101927,94,21.2,-76.6,78.8,6.93
Tautira,75,PF,1594101696,83,-17.73,-149.15,77.0,6.93
Havøysund,75,NO,1594101927,87,71.0,24.66,48.2,23.04
Novska,75,HR,1594101927,82,45.34,16.98,59.0,4.7
Tarko-Sale,35,RU,1594101927,59,64.92,77.78,80.01,13.27
Bethel,75,US,1594101503,93,41.37,-73.41,66.99,5.03
Tiksi,96,RU,1594101502,88,71.69,128.87,37.72,7.2
Tomatlán,100,MX,1594101543,92,19.93,-105.25,78.12,2.48
Río Duque,37,PA,1594101928,94,9.27,-79.68,79.0,6.93
Walvis Bay,90,NA,1594101522,100,-22.96,14.51,53.01,6.93
Kiryat Gat,2,IL,1594101412,76,31.61,34.76,78.01,5.35
Leningradskiy,97,RU,1594101530,77,69.38,178.42,44.47,3.98
Richards Bay,0,ZA,1594101525,31,-28.78,32.04,62.46,3.83
Suez,0,EG,1594101928,34,29.97,32.53,85.32,1.25
Raudeberg,72,NO,1594101928,76,61.99,5.14,54.0,1.61
Belmonte,75,BR,1594101928,94,-15.86,-38.88,69.8,5.82
Ostrovnoy,32,RU,1594101929,64,68.05,39.51,60.46,26.75
Tilichiki,88,RU,1594101929,75,60.47,166.1,55.11,8.81
Māngrol,95,IN,1594101547,85,21.12,70.12,83.23,24.0
Myitkyina,96,MM,1594101929,83,25.38,97.4,85.77,1.63
Dikson,39,RU,1594101511,60,73.51,80.55,51.3,13.0
Umluj,91,SA,1594101647,32,25.02,37.27,90.61,2.37
Ganzhou,100,CN,1594101929,86,28.82,115.43,83.21,2.46
Moyale,99,KE,1594101930,73,3.52,39.06,65.1,11.07
‘Āhuimanu,20,US,1594101549,65,21.44,-157.84,82.4,11.41
Touros,11,BR,1594101930,100,-5.2,-35.46,69.8,4.7
Wuzhou,100,CN,1594101930,58,23.48,111.32,92.86,8.39
Cravo Norte,83,CO,1594101834,96,6.3,-70.2,72.7,2.15
Bondo,100,CD,1594101930,98,3.81,23.69,70.0,1.12
Kim,0,TJ,1594101930,25,40.21,70.47,86.0,11.18
Tura,25,IN,1594101538,66,25.52,90.22,88.3,7.07
Acajutla,88,SV,1594101931,99,13.59,-89.83,71.01,4.29
Marfino,0,RU,1594101931,69,55.7,37.38,79.0,4.47
Lorengau,38,PG,1594101508,77,-2.02,147.27,84.0,11.25
Berlevåg,75,NO,1594101931,81,70.86,29.09,50.0,20.8
Kailua,20,US,1594101554,65,21.4,-157.74,80.6,11.41
Boshnyakovo,36,RU,1594101931,63,49.63,142.17,67.69,9.51
Vila Velha,0,BR,1594101255,93,-20.33,-40.29,66.0,2.24
Ankazoabo,0,MG,1594101931,45,-22.28,44.52,68.81,6.44
Kachug,53,RU,1594101932,33,53.96,105.88,89.22,1.77
Kirakira,51,SB,1594101515,79,-10.45,161.92,82.36,11.25
Mandalgovi,96,MN,1594101559,18,45.76,106.27,86.85,14.72
Henties Bay,0,NA,1594101532,92,-22.12,14.28,53.01,1.01
Najrān,20,SA,1594101519,23,17.49,44.13,93.2,9.17
Jackson,90,US,1594101902,59,42.42,-122.83,60.8,4.7
Matamoros,0,MX,1594101550,31,25.53,-103.25,84.0,11.36
Yulara,0,AU,1594101558,27,-25.24,130.99,64.4,8.05
Shakhty,0,RU,1594101933,33,47.71,40.21,87.8,13.42
Batagay-Alyta,33,RU,1594101933,36,67.8,130.41,61.79,1.88
Nouadhibou,0,MR,1594101535,94,20.93,-17.03,68.9,6.69
Okhotsk,95,RU,1594101933,67,59.38,143.3,56.43,9.64
Imbituba,90,BR,1594101635,93,-28.24,-48.67,59.0,3.36
Solano,1,US,1594101933,59,38.23,-121.95,66.2,19.46
Agüimes,0,ES,1594101933,88,27.91,-15.45,72.0,3.36
Hualmay,86,PE,1594101515,85,-11.1,-77.61,60.26,9.24
Senno,100,RU,1594101934,96,59.53,33.92,58.23,5.55
Makakilo City,1,US,1594101471,61,21.35,-158.09,82.4,4.7
Saint George,1,US,1594101503,4,37.1,-113.58,89.6,10.29
Mujiayingzi,0,CN,1594101934,23,42.12,118.78,79.29,10.02
Deputatsky,95,RU,1594101499,76,69.3,139.9,51.91,6.42
Guarabira,4,BR,1594101934,90,-6.85,-35.49,66.58,7.7
Half Moon Bay,75,US,1594101934,82,37.46,-122.43,57.99,10.29
Chokurdakh,100,RU,1594101513,94,70.63,147.92,39.9,10.76
Pakxan,88,LA,1594101935,61,18.38,103.66,93.99,3.0
Elliot,1,ZA,1594101935,40,-31.33,27.85,48.63,8.79
Wattegama,20,LK,1594101935,63,6.8,81.48,91.4,14.99
Abu Kamal,0,SY,1594101935,23,34.45,40.92,94.68,12.19
Podor,98,MR,1594101935,69,16.65,-14.96,79.29,13.15
Yafran,0,LY,1594101935,58,32.06,12.53,67.68,6.4
Sola,100,VU,1594101504,83,-13.88,167.55,79.21,24.94
Teeli,100,RU,1594101935,43,51.03,90.23,72.43,2.3
Salalah,90,OM,1594101537,83,17.02,54.09,82.4,3.36
Roura,90,GF,1594101936,100,4.73,-52.33,73.4,2.24
Saint-Leu,90,RE,1594101936,94,-21.15,55.28,73.4,18.34
Kuruman,0,ZA,1594101936,49,-27.45,23.43,44.22,2.44
Husavik,18,IS,1594101517,100,66.04,-17.34,33.8,2.39
Pedernales,71,DO,1594101936,62,18.04,-71.74,80.85,4.45
Pāvilosta,72,LV,1594101936,82,56.89,21.19,59.0,16.11
Bubaque,98,GW,1594101534,80,11.28,-15.83,80.38,12.73
Bengkulu,88,ID,1594101513,54,-3.8,102.27,90.3,7.72
Margate,33,GB,1594101509,49,51.38,1.39,61.0,3.0
Senneterre,90,CA,1594101937,64,48.38,-77.23,75.2,10.29
Ahipara,29,NZ,1594101523,72,-35.17,173.17,54.99,13.15
Karpogory,18,RU,1594101937,50,64.0,44.45,69.76,7.52
Pevek,91,RU,1594101530,65,69.7,170.31,48.9,9.8
Garissa,99,KE,1594101534,62,-0.45,39.64,78.98,21.54
Churapcha,83,RU,1594101937,40,62.0,132.43,69.39,6.04
Plymouth,20,US,1594101937,93,41.83,-70.83,64.99,2.82
Manadhoo,99,MV,1594101556,67,5.77,73.38,83.71,4.07
Sitia,0,GR,1594101938,69,35.2,26.1,78.06,2.66
Mahébourg,75,MU,1594101502,88,-20.41,57.7,75.2,6.93
Torbay,90,CA,1594101505,93,47.67,-52.73,48.99,3.36
Boissevain,1,CA,1594101938,100,49.23,-100.06,62.01,4.43
Fortuna,90,US,1594101501,82,40.6,-124.16,55.99,9.17
Bukama,30,CD,1594101938,36,-9.2,25.85,64.6,2.37
Kurchum,95,KZ,1594101938,58,48.57,83.65,70.07,1.9
Tessalit,0,ML,1594101939,13,20.2,1.01,86.23,8.46
Sisimiut,100,GL,1594101939,80,66.94,-53.67,45.32,1.68
Sukuta,40,GM,1594101939,100,13.41,-16.71,77.0,6.08
Berdigestyakh,92,RU,1594101939,37,62.1,126.7,67.82,5.61
Kavaratti,40,IN,1594101550,79,10.57,72.64,86.0,9.17
Rocha,69,UY,1594101939,86,-34.48,-54.33,45.82,3.78
Mīāndoāb,10,IR,1594101787,27,36.97,46.1,77.0,18.34
Isangel,100,VU,1594101506,74,-19.55,169.27,70.75,10.78
Lagoa,4,PT,1594101521,91,39.05,-27.98,66.92,9.44
Lensk,100,RU,1594101940,78,60.73,114.93,57.18,3.78
Indramayu,27,ID,1594101715,66,-6.33,108.32,84.96,12.95
Praia da Vitória,40,PT,1594101519,94,38.73,-27.07,68.0,8.55
Clyde River,90,CA,1594101559,93,70.47,-68.59,39.2,4.7
Qidong,87,CN,1594101940,63,31.81,121.66,96.01,4.23
Ilulissat,100,GL,1594101523,50,69.22,-51.1,51.8,17.22
Kushiro,75,JP,1594101526,88,42.98,144.37,66.2,3.36
Humberto de Campos,46,BR,1594101813,95,-2.6,-43.46,74.08,4.63
West Bay,18,KY,1594101941,92,19.37,-81.42,84.0,8.46
Otradnoye,82,RU,1594101941,77,59.78,30.82,64.0,2.24
La Ronge,5,CA,1594101528,82,55.1,-105.28,55.4,2.24
Manta,93,EC,1594101941,86,-0.95,-80.73,71.22,7.85
Vuktyl,83,RU,1594101941,50,63.86,57.31,80.78,7.63
Barabai,73,ID,1594101941,49,-2.58,115.38,91.92,0.76
Fundão,0,BR,1594101941,93,-19.93,-40.4,66.0,2.24
Chengzhong,90,CN,1594101942,100,30.95,113.55,71.6,11.18
Saint-François,0,FR,1594101511,81,46.42,3.91,51.8,2.57
Sampit,53,ID,1594101942,55,-2.53,112.95,89.78,5.17
Oranjemund,100,NA,1594101541,81,-28.55,16.43,56.79,8.72
Brzeg Dolny,20,PL,1594101942,76,51.27,16.71,57.99,14.99
Sakaiminato,75,JP,1594101942,94,35.55,133.23,77.0,4.7
Basco,87,PH,1594101942,80,20.45,121.97,84.58,13.2
Curup,61,ID,1594101943,60,-3.47,102.53,83.03,4.47
Vostok,83,RU,1594101943,50,46.49,135.88,74.91,6.46
Hailey,5,US,1594101654,44,43.52,-114.32,60.8,4.7
Kilindoni,64,TZ,1594101536,76,-7.91,39.67,77.13,19.73
Burns Lake,97,CA,1594101943,79,54.23,-125.75,50.49,2.42
Hellín,0,ES,1594101943,55,38.51,-1.7,64.4,3.36
Guiratinga,0,BR,1594101943,53,-16.35,-53.76,66.9,2.64
Foso,100,GH,1594101944,96,5.7,-1.29,72.23,2.71
Nizwá,13,OM,1594101944,21,22.93,57.53,101.55,4.99
Narsaq,96,GL,1594101522,75,60.92,-46.05,44.6,2.24
Volchikha,98,RU,1594101944,50,52.03,80.38,75.4,6.82
Coquimbo,56,CL,1594101505,87,-29.95,-71.34,53.6,2.24
Yenotayevka,0,RU,1594101944,23,47.25,47.03,92.66,11.25
Conceição da Barra,1,BR,1594101527,93,-18.59,-39.73,67.57,1.83
Marsh Harbour,74,BS,1594101538,76,26.54,-77.06,83.44,8.08
Thompson,40,CA,1594101505,82,55.74,-97.86,55.4,3.36
Oruzgan,0,AF,1594101945,12,32.83,66.0,86.09,9.15
Pāsighāt,95,IN,1594101945,75,28.07,95.33,85.21,3.78
Mindelo,75,CV,1594101945,73,16.89,-24.98,77.0,6.93
Micheweni,35,TZ,1594101945,74,-4.97,39.83,79.38,17.4
Arman',78,RU,1594101946,58,59.7,150.17,58.23,6.22
Bac Lieu,53,VN,1594101946,64,9.29,105.72,87.12,9.4
Burnie,31,AU,1594101946,55,-41.07,145.92,53.01,5.99
Eydhafushi,100,MV,1594101946,67,5.1,73.07,83.95,4.72
Kodino,46,RU,1594101946,49,63.72,39.64,66.33,8.68
Bilibino,97,RU,1594101531,40,68.05,166.44,61.34,2.19
Mnogovershinnyy,100,RU,1594101946,100,53.94,139.92,45.95,4.07
Felanitx,20,ES,1594101947,94,39.47,3.15,72.0,2.24
Zapolyarnyy,75,RU,1594101947,81,69.42,30.81,50.0,18.34
Kathmandu,75,NP,1594101800,69,27.72,85.32,82.4,3.76
Les Escoumins,65,CA,1594101947,94,48.11,-69.02,48.7,1.1
Bo Rai,40,TH,1594101947,70,12.57,102.54,87.8,8.05
Khor,75,RU,1594101947,90,47.89,134.95,68.45,11.32
Ürümqi,75,CN,1594101948,64,43.8,87.6,69.8,4.47
Kalang,43,PH,1594101948,73,5.92,121.36,83.75,3.44
Nadadores,7,MX,1594101948,32,27.05,-101.6,91.0,5.99
Port Lincoln,1,AU,1594101948,61,-34.73,135.87,55.18,9.48
Luga,98,RU,1594101948,59,58.74,29.85,64.18,6.24
Örnsköldsvik,43,SE,1594101948,81,63.29,18.72,53.6,8.05
Port-Gentil,40,GA,1594101948,88,-0.72,8.78,75.2,9.17
Waliso,93,ET,1594101948,88,8.53,37.98,61.63,2.91
